id,text,attitudes,comments,reposts
3978534576203921,【佛光菜根谭】人生处世懂得低调，则酷暑寒冬都美，南北东西都好，高低上下都妙，人我界限都无。低调里蕴藏着深奥的人生哲理与处世妙诀。,1,1,0
3978368984705674,岁月无痕，浮生若梦。唯有你拂去的雪花，依然守候在记忆里，编织着亘古的缠绵。那曾经凋零的希望，与月光不断摩擦，渐渐燃起，在风中摇曳。好词好句好段摘抄大全网页链接,2,0,0
3978307244889536,不错不错,0,0,0
3978307223895423,圣胡安岛(San Juan Islands) 圣胡安岛坐落在华盛顿州和不列颠哥伦比亚之间的皮吉特海峡。只可以通过渡船、私人船只或飞机到达这个岛，因此它成为众多爱好自然者、单车爱好者和船只爱好者的旅游胜地。住宿条件也具有多样性，从简陋的田园帐篷到奢侈的度假村都有。,0,0,0
3978307207104603,太爱这么好的活动方了，奖品太给力了,0,0,0
3970921242936990,永恒的爱与幸福只是乌托邦幻想而已，还不如不断的追求一些东西。-----《白夜婚礼》,0,0,0
3970921167427644,小编你这活动也太给力了吧，不转都对不起自己了，哈哈,0,0,0
3968761286047623,转一下,0,0,0
3968761201544157,大头哥哥,0,0,0
3968761167861756,人品让我暴暴暴吧,0,0,0
3966439377867715,最珍贵的不是金钱，是情感；最有力的不是老板，是大自然；最可怕的不是灾难，是灾后无援；最拿手的不是专业，是旁观；最可怕的不是失恋，是心身不全；最舒适的不是酒店，是家；最难听的不是脏话，是无言；最宽广的不是大海，是心胸；最美好的不是未来，而是今天。,0,0,0
3966405403705023,一场寂寞凭谁诉。算前言，总轻负。网页链接,0,0,0
3966359480293647,纯木木，我在看你的《唐人街探案》,0,0,0
3966359467451669,,0,0,0
3966359446709627,见着那晃来晃去的鱼儿，不曾有过的零乱跟躁动，就是这般静然的从这头到那头，又从那头走到了这头。此般的静诺，这样的无瑕网页链接,0,0,0
3966359433866102,来来来，随手拉低,0,0,0
3966359430061017,支持,0,0,0
3963629110332444,【人生哲理】1、人人都有可笑之处，别光顾笑别人而忘了笑自己。2、人过于刚强容易夭折，人过于柔顺就会变成软弱。3、人有短处和失误在所难免，不要到处张扬也是一种美德。4、信誉是最好的无形资产，有信誉才能走遍天下。5、宽容和忍让是求同存异的基础，沟通和理解是求同存异的桥梁。,0,0,0
3963576256981816,"我坐在顶楼看着一片不算蔚蓝的天空。我相信我的天空不会像这样灰矇矇，就算沒有你。因为爱你，所以我退出你的天空。因为爱你,所以希望你过得快乐，过得更好。因为爱你，所以我选择离开。我用我对你的爱，祝你过的幸福。但我会带着心痛一起离开。我离开你的天空，也请你退出我的天空。",0,0,0
3963488181383231,能告诉我什么时候才能到尽头,0,0,0
3963451677873132,宝宝 手上那东西不错啊 借我带两天咩！,0,0,0
3963451673675184,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,0,0,0
3963451632642811,"今年最好笑的笑话,..就是广州美食节搞了2天..说是早10点到晚9点..结果连续两天12点左右就闭馆..原因是人多..后来干脆就不办了..~交通系统免费了5天..天天充满了抱怨..后来就不搞免费了..原因依然是人多.....预计亚运会搞了几天..奖牌不给了..原因是运动员太多.....中国人多您第一天知道?",0,0,0
3963451619375220,赶紧抢起来。。 乐天酒店首尔米其林美食会！转发赢壕礼！,0,0,0
3963451611124640,学校通知说6月7、8号两天不许请假，以防去当高考枪手。个人觉得，这个问题完全可以放心，以我们现在的水平，基本连大专都考不上，应该没人会来找我们代考的。倒是想说，有没有学妹学弟愿意高考完抽空来帮我考一下英语。,0,0,0
3963451602587278,伊朗，日本，乌兹别克斯坦，中国，卡塔尔，叙利亚,0,0,0
3963451519298339,转发一下会掉肉吗,0,0,0
3963451506609123,玩的够狠！,0,0,0
3961759478018411,,0,0,0
3961759398225208,"君生我未生,我生君已老、隔了百年的光阴,万里的迢递,浮世肮脏,人心险诈,割裂了生与死,到哪里再去寻找那一袭纯白如羽的华衣和那张如莲花般的素颜?网页链接",0,0,0
3961759373510638,,0,0,0
3961759364972799,#OPPO长续航拍照旗舰R9Plus#中！中！中！（PS：重要的事情说三遍）@OPPO,0,0,0
3961759343975268,屌爆了，抽我,0,0,0
3961759339772693,转～说不定能中呢,0,0,0
3961759327176941,微博活动都这么拼了？,0,0,0
3961759314578905,#青春纪念册# 上课的时候偷吃零食,0,0,0
3961759309986753,好开心,0,0,0
3961759297777124,#vivo快无边界Xplay5#生日快乐，喜欢用vivo手机,0,0,0
3961759289309729,喜欢你很久了，我一直没找女朋友的原因就是因为你，希望我们是一辈子的好基友,0,0,0
3961759285571206,#女神来了！#美的赫本原汁机棒棒哒，好想送给我的女神，我最爱的妈妈。,0,0,0
3961759276710905,都让开，我要开始放大招了,0,0,0
3961759267997213,给我好吗？？,0,0,0
3961759259596702,转发微博,0,0,0
3961759247773225,愿咱们中奖哈，度假去,0,0,0
3961759226004482,,0,0,0
3961759218371735,沃，牛逼，拼了啊,0,0,0
3934257552115052,可爱!! #吴磊LEO# #二十四小时# #吴磊二十四小时#,0,0,0
3928439025116010,莫名感到有点儿人少......,0,0,0
3925809036992321,快了快了,0,0,0
3924798793148240,社会导向是不是有问题，天天网上都是好基友什么的···我感觉我都要被掰弯了····,0,0,0
3924277776194878,开心 中了一等奖啦。。我好厉害,0,3,0
3923451872320948,【莲的心事】我是一朵盛开的夏莲 ，多希望你能看见现在的我风霜还不曾来侵蚀，秋雨还未滴落，青涩的季节又已离我远去 我已亭亭 不忧 亦不惧 现在 正是 最美丽的时刻 重门却已深锁 在芬芳的笑靥之后 谁人知我莲的心事 无缘的你啊 不是来得太早 就是 太迟,0,0,0
3923449103358203,我不喜欢AA制，你既然是我的女人，那麼你就理所应当的吃我的，穿我的，我去赚钱，你负责花钱；不要说公不公平，上天把你交到我手上就已经是对全世界其他男性的最大不公平了；如果你觉得想要报答我，那麼你就多笑一点，或者，把我推到墙上，狠狠地吻我。好MAN的真情告白，你喜欢这样的男人吗？,0,0,0
3923447720002057,@装排骨的水瓶tlc @Soul_GD-盐豆豆fj @三为糕饼蜜穴输赢,0,0,0
3923447702440076,酸酸草[抠鼻屎],0,0,0
3922025472904098,【男性养生小动作】1、捏耳垂画圆圈，双手分别轻拉耳垂，以相反方向画圆圈，从1数到10，这一动作有益活动大脑皮层，缓解压力。2、单脚站立，能促进肛周血液循环，减轻静脉内压力，预防痔疮。已患痔疮的朋友，可每天坚持单脚跳跃20分钟，10天后痔疮症状会有不同程度的减轻,0,0,0
3922022956282382,世界上最好的交通工具应该归属于自行车！！其他都是浮云！！,0,0,0
3922021244756745,@三为糕饼蜜穴输赢 @并存珍珍父兄神王 @Soul_GD-盐豆豆fj,0,0,0
3922021207288972,@Blue丶油菜丶花,0,0,0
3922021186601482,#李易峰#,0,0,0
3921145172216427,有时候 有时候 我会相信一切有尽头 相聚离开 都有时候 没有什么会永垂不朽 可是我 有时候 宁愿选择留恋不放手 等到风景都看透 也许你会陪我看细水长流。——王菲《红豆》,0,0,0
3921141900819480,最刺激游戏，美国大峡谷的“死亡电单车” 你敢玩吗？敢玩吗？我不敢。。。,0,0,0
3921139753863619,@單__眼皮-Bear,0,0,0
3921139707303955,????,0,0,0
3921139686023936,@并存珍珍父兄神王 @Blue丶油菜丶花 @三为糕饼蜜穴输赢,0,0,0
3921139665320436,井宝最帅队形在哪里井宝最帅队形在哪里井宝最帅队形在哪里井宝最帅队形在哪里井宝最帅队形在哪里井宝最帅队形在哪里井宝最帅队形在哪里井宝最帅队形在哪里井宝最帅队形在哪里,0,0,0
3920245494201092,【学会欣赏自己】就是在无人为我们鼓掌的时候，给自己一个鼓励；在无人为我们拭泪的时候，给自己一些安慰；在我们自惭形秽的时候，给自己一片空间，一份自信。然后抖落昨日的疲惫与无奈，抚去昨日的伤痛和泪水，去迎接明天崭新的朝阳，走向一个风和日丽的晨曦，学会欣赏自己，才能把自己变得更加强大。,0,0,0
3920242222959721,你知道吗？张学友是巨蟹座、周星驰是巨蟹座、文章夫妻是巨蟹座、rain是巨蟹座、尼坤是巨蟹座、陈小春是巨蟹座、刘翔是巨蟹座、梅西是巨蟹座、李敏镐是巨蟹座、林宥嘉是巨蟹座、方大同是巨蟹座、金希澈是巨蟹座、梁朝伟是巨蟹座、欧弟是巨蟹座……最最最重要的，我也是巨蟹座！巨蟹转起~~～~（转）,0,0,0
3920240553518416,昨天吃了这个菜，话说味道还真的很不不错,0,0,0
3920240549278914,小事儿不可小觑！~,0,0,0
3920240515702535,@爱铜锣烧的蓝胖子 @Blue丶油菜丶花 @夕__鸟心__灵语录,0,0,0
3920240499212388,@命丧迷路 @想飞之心3丶0 @夕__鸟心__灵语录,0,0,0
3920240460892508,#有奖活动# 【首都综治 与你同行】答案必须是B@三为糕饼蜜穴输赢 @来帮道临熟妇接缝,0,0,0
3920240444643820,真的好有感触,0,0,0
3919687567624455,几乎每个女人都有过这样的烦恼：今天出门到底该穿那件衣服？为什么不再多逛几家商店，这件比刚才买的那件更好、更漂亮或更便宜！买了衣服后又后悔，于是付了钱之后的第二件事就是考虑这件衣服送给谁，妹妹或是女友！女人共同的季节病是：换季啦，没有衣服穿！,0,0,0
3919684296954068,我感谢你的八辈祖宗，我做鬼都不会放过你的。,0,0,0
3919682396503313,@装排骨的水瓶tlc @旮旯靠近虫虫 @想飞之心3丶0,0,0,0
3919682375773213,@并存珍珍父兄神王 @命丧迷路 @單__眼皮-Bear @三为糕饼蜜穴输赢 @夕__鸟心__灵语录,0,0,0
3919682359252075,@装排骨的水瓶tlc,0,0,0
3919682338261882,@Soul_GD-盐豆豆fj,0,0,0
3919682320702382,被动的时候我就想着换上两个本土的吧，外援全上不是好事，没想到老头真的换了，然后以为会点球呢，结果真是没想到啊！！！,0,0,0
3919370729977350,女人最大的敌人，不是时间，不是权利，不是金钱，而是自己的偏执，对不该爱的男人却爱的无法自拔。除了你的父亲，和你将来的老公，谁也不值得你付出太多，为父亲付出，因为他给了你上半辈子的爱，为老公付出，因为下半辈子的爱，将会是他来给。,0,0,0
3919367961975902,如果你不喜欢一个人，最好告诉他真相，而不是用谎言欺骗，真相也许会伤人，但谎言会把人伤得更深。,0,0,0
3919366196549789,气质，想看金姐跳呢,0,0,0
3919366187830472,萌得我满脸血,0,0,0
3919366179433890,不能再赞同好吗,0,0,0
3919366145842280,@爱铜锣烧的蓝胖子 @Blue丶油菜丶花 @难以应景混搭,0,0,0
